Globally_unique_identifier,Property_key,Names_in_language_N,Definitions_in_language_N,Units,Descriptions_in_language_N,Physical_quantity,Method_of_measurement,Data_type,Dimension_(LMTIÃŽËœNJ),List_of_possible_values_in_language_N,Status,Date_of_creation,Date_of_activation,Date_of_last_change,Date_of_revision,Date_of_version,Date_of_deactivation,Version_number,Revision_number,List_of_replaced_properties,List_of_replacing_properties,Deprecation_explanation,Relation_of_the_property_identifiers_in_the_interconnected_data_dictionaries,Creators_language,Examples_in_language_N,Connected_properties,Groups_of_properties,Symbols_of_the_property_in_a_given_property_group,Visual_representation,Country_of_use,Subdivision_of_use,Country_of_origin,Dynamic_property,Parameters_of_the_dynamic_property,Names_of_defining_values,Defining_values,Tolerance,Digital_format,Text_format,Boundary_values,IR_Property_Alignment
D4CA2AF1-1643-4AE7-A8C4-25C206F17EBF,urn:caltrans:property:paving_type,PavingType | en-EN,Paving Type,unitless,Paving type at positive location identification point,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
DE2880C6-0DCD-49F4-9D8D-9D80CC7F38F4,urn:caltrans:property:paving_thickness,PavingThickness | en-EN,Paving Thickness,inch,Paving thickness of soil at positive location identification point,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
35D7CAC4-8FAC-44E4-80EF-7DAB7DBD8E8D,urn:caltrans:property:horizontal_accuracy,HorizontalAccuracy | en-EN,Horizontal Accuracy,unitless,"Accuracy of horizontal location (0.1', 0.2', 0.3', 1', 3', indeterminate)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(D54F0B4B-1836-488D-9010-4445CCA77D82),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
8EED2BF2-A971-4A38-A8D4-046C30E53DC5,urn:caltrans:property:vertical_accuracy,VerticalAccuracy | en-EN,Vertical Accuracy,unitless,"Accuracy of vertical location (0.1', 0.2', 0.3', 1', 3', indeterminate)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(D54F0B4B-1836-488D-9010-4445CCA77D82),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
3818AD7D-4D91-49CE-8489-0B7332CABD3B,urn:caltrans:property:sue_quality,SueQuality | en-EN,SUE Quality,unitless,"SUE Quality level from ASCE 38-02 (A, B, C, D)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(D54F0B4B-1836-488D-9010-4445CCA77D82),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
E39B7D82-0674-4F4B-91CB-6B4C9ADA6333,urn:caltrans:property:owner_utility,OwnerUtility | en-EN,Owner Utility,unitless,Owner of the utility,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(440BC8E0-F2BD-4D0F-BCAE-EFDA0961CEE1),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
5991F875-38C5-4D11-9DD7-315DD2FA1D17,urn:caltrans:property:owner_utility_type,OwnerUtilityType | en-EN,Owner Utility Type,unitless,Type of utility owner,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(440BC8E0-F2BD-4D0F-BCAE-EFDA0961CEE1),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
D4C8A431-1C34-4435-8516-F32A332E3FAA,urn:caltrans:property:casing_type,CasingType | en-EN,Casing Type,unitless,"Material of the casing (cast iron, PVC, etc.)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(613F694F-22FA-4591-8C5C-CCDAF64410C0),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
43FE208D-DA2B-4544-B89F-F52A0936C7ED,urn:caltrans:property:casing_size,CasingSize | en-EN,Casing Size,unitless,"Ranges provided in schema (6-28in, 30-38in, 40-60in, 62-72in)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(613F694F-22FA-4591-8C5C-CCDAF64410C0),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
CDA9BC0F-0C1D-4AA2-90F2-BA89715DDD18,urn:caltrans:property:pipe_material,PipeMaterial | en-EN,Pipe Material,unitless,"Material of the pipe (cast iron, PVC, ductile iron, etc.)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(4C2EF229-D1E3-48B8-B808-768EABFB3C6E),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
7D1675D5-EF28-4FDD-8AD1-E89FEB3EDA4F,urn:caltrans:property:pipe_diameter,PipeDiameter | en-EN,Pipe Diameter,inch,"1/2"" to 72"" including ""other"" and ""unknown"" in database schema",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(4C2EF229-D1E3-48B8-B808-768EABFB3C6E),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
2196C847-876C-482E-B984-5677DC7F91D8,urn:caltrans:property:installation_type,InstallationType | en-EN,Installation Type,unitless,"Includes conduit, duct-bank, or direct bury",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(A3F5C2D1-8B4E-4A7F-9C6D-2E1B5F3A8C4D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
28E7A1CB-FEF7-47B0-AAF8-3970838C2B4C,urn:caltrans:property:installation_material,InstallationMaterial | en-EN,Installation Material,unitless,"Includes concrete, PVC, etc.",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(CA6A4389-08A9-4FDF-A088-9E792408F59D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
3601B801-180C-4CB0-B7B5-083FBCCE8752,urn:caltrans:property:installation_size,InstallationSize | en-EN,Installation Size,unitless,Pipe diameter sizes provided,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(CA6A4389-08A9-4FDF-A088-9E792408F59D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
16E90718-15F4-4CA8-8EF9-1B70DC63FD5E,urn:caltrans:property:installation_width,InstallationWidth | en-EN,Installation Width,inch,Width of the conduit installation,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(CA6A4389-08A9-4FDF-A088-9E792408F59D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
B52D5DE4-25EA-4BFA-9412-02F77739E924,urn:caltrans:property:installation_height,InstallationHeight | en-EN,Installation Height,inch,Height of the conduit installation,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(CA6A4389-08A9-4FDF-A088-9E792408F59D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
B9D6EBE1-8ED3-41E2-A6A9-7D28C8FCC8E0,urn:caltrans:property:installation_number_of_ducts,InstallationNumberOfDucts | en-EN,Installation Number of Ducts,unitless,"2x1, 2x2, etc.",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(CA6A4389-08A9-4FDF-A088-9E792408F59D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
58749E67-C7C5-4E83-A451-DA556E97F0B6,urn:caltrans:property:flow_type,FlowType | en-EN,Flow Type,unitless,"Gravity, pressurized, or non-pressurized",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(F9635D16-CC71-445E-B34D-B5F9A41AE657),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
1C6196CE-C93A-4F55-835C-D11C9944E8F6,urn:caltrans:property:flow_units,FlowUnits | en-EN,Flow Units,unitless,None or PSIG,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(F9635D16-CC71-445E-B34D-B5F9A41AE657),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
C42C9D22-8343-48B9-83AF-27C0598BBFA0,urn:caltrans:property:number_of_conductors,NumberOfConductors | en-EN,Number of Conductors,unitless,Conductors included in the specific utility line,without,N/A,Integer,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(EFA4A65D-C80C-4E12-81D2-35D8DC258675),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
B924B8A3-69EB-4337-A32C-AE56F047877E,urn:caltrans:property:voltage_rating,VoltageRating | en-EN,Voltage Rating,volt,Nominal voltage rating of the electric utility line or cable.,Electric potential | en-EN,N/A,Real,1 2 -3 -1 0 0 0,,Active,2026-05-04,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(EFA4A65D-C80C-4E12-81D2-35D8DC258675),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
24A32ACE-F892-4E26-B9B3-E9A8E804A462,urn:caltrans:property:number_of_fibers,NumberOfFibers | en-EN,Number of Fibers,unitless,"2x1, 2x2, etc. or ""Other""",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(898CA4E0-D657-456F-A3DF-C25E28FD3BB5),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
68FC7AA9-1428-4681-AD97-E5FC069FBE79,urn:caltrans:property:cable_type,CableType | en-EN,Cable Type,unitless,Copper or other,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(34CD628D-B9C1-4958-B538-9D53EE435863),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
9C112F6F-C5D4-4E6A-9C35-77B751BE7EE3,urn:caltrans:property:access_type,AccessType | en-EN,Access Type,unitless,"Manholes, Handholes, Valves, Cleanouts, Other",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8EB00992-D268-42B1-8D64-26E42E5A1BBC),,,US,,US,,,,,,,,,BIM for Infrastructure TPF
AB133783-9D31-4C71-88F2-37E305368CF2,urn:caltrans:property:rim_access_ground_elevation,RimAccessGroundElevation | en-EN,Rim/Access Ground Elevation,foot,Elevation of the ground at the access point,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8EB00992-D268-42B1-8D64-26E42E5A1BBC),,,US,,US,,,,,,,,,BIM for Infrastructure TPF
72B0F887-0A47-4DCB-81AD-051B8CD4ADA1,urn:caltrans:property:feature_id,FeatureId | en-EN,Feature ID,unitless,"Specific point, linear, and surface designation",without,N/A,Integer,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(29A9027F-2755-4509-8898-AD5C246F5D72),,,US,,US,,,,,,,,,
4722E177-05D7-400A-8DCB-3732E503C832,urn:caltrans:property:survey_feature_code,SurveyFeatureCode | en-EN,Survey Feature Code,unitless,Short abbreviation surveyors use in the field to identify and describe physical features and data points encountered,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(29A9027F-2755-4509-8898-AD5C246F5D72),,,US,,US,,,,,,,,,
F94835E0-551E-499C-9FA0-2CAE9F072EBB,urn:caltrans:property:district,District | en-EN,District,unitless,District designation,without,N/A,Integer,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
1BE974BA-7250-4B01-80B4-AAC09744C863,urn:caltrans:property:county,County | en-EN,County,unitless,County designation,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
0CEB19D7-7F01-45C9-8568-7DC0880E4A7D,urn:caltrans:property:route_id,RouteId | en-EN,Route ID,unitless,Route designation,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
47AB8555-8917-4F4C-8918-BF6671E5D50D,urn:caltrans:property:direction,Direction | en-EN,Direction,unitless,"Primary route travel direction (N, S, E, W)",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
6F27FEC2-A0F9-4F5E-9CD4-9282A3662FDD,urn:caltrans:property:highway_type,HighwayType | en-EN,Highway Type,unitless,Designation of roadway,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
9A8E9EEC-2B68-4F1B-9C91-114D0D451A80,urn:caltrans:property:relative_position,RelativePosition | en-EN,Relative Position,unitless,Position of the asset relative to the roadway,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(8508A6DE-AB9E-45E6-9D42-AC7051149B26),,,US,,US,,,,,,,,,
C17DE00B-DD0F-4C82-A3A6-68CE9E64DC70,urn:caltrans:property:station,Station | en-EN,Station,foot,Station of point location,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
43D6E988-36FF-43BE-A543-86BDAF43380D,urn:caltrans:property:station_offset,StationOffset | en-EN,Station Offset,foot,Offset of point location,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
EE880293-3102-4BD2-9B2C-210FDC0FD2C3,urn:caltrans:property:reference_point_location,ReferencePointLocation | en-EN,Reference Point Location,unitless,Placement of point for offset (i.e. gutterline for traffic barrier feature),without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,"(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D, 3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B)",,,US,,US,,,,,,,,,
4A51AD41-64F9-4AFB-A22C-0B920106A239,urn:caltrans:property:station_begin,StationBegin | en-EN,Station - Begin,foot,Station of linear location - begin,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
D21AA4E4-16C7-4C93-8218-C2E1AAC37444,urn:caltrans:property:station_end,StationEnd | en-EN,Station - End,foot,Station of linear location - end,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
D60716CB-3EDB-4F17-BE9F-E2B205D3479F,urn:caltrans:property:station_offset_begin,StationOffsetBegin | en-EN,Station Offset - Begin,foot,Offset of linear location - begin,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
C0E7F035-F5AA-4BE8-9A18-E66E75D09E44,urn:caltrans:property:station_offset_end,StationOffsetEnd | en-EN,Station Offset - End,foot,Offset of linear location - end,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
B6BD3679-BBAD-46FD-9BCB-8EA85896AF6E,urn:caltrans:property:gps_notes,GpsNotes | en-EN,GPS Notes,unitless,Notes referring to GPS location data,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,"(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D, 3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B, 7B9D2E4F-8A1C-4D3B-9E5F-3A6C8B1D4E7F)",,,US,,US,,,,,,,,,
314D4785-EE02-4D90-BDEF-22016ECD7067,urn:caltrans:property:latitude_begin,LatitudeBegin | en-EN,Latitude - Begin,degree,Longitude of point location - end,Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
DB9C7F04-CB3F-44A7-8290-04709DC2DC4A,urn:caltrans:property:latitude_end,LatitudeEnd | en-EN,Latitude - End,degree,"The ""X"" values of coordinates represented on a plane coordinate system for a boundary area",Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
12D41CBB-C901-443F-8214-66A49E202162,urn:caltrans:property:longitude_begin,LongitudeBegin | en-EN,Longitude - Begin,degree,"The ""Y"" values of coordinates represented on a plane coordinate system for a boundary area",Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
073AFBE0-88EE-4724-ACA4-103443E491F7,urn:caltrans:property:longitude_end,LongitudeEnd | en-EN,Longitude - End,degree,Latitude of linear location - boundary point,Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
FA0A9557-3229-4DEB-BA80-F5FA23BA8729,urn:caltrans:property:latitude,Latitude | en-EN,Latitude,degree,Latitude of point location,Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
E8E1CAA0-73B2-4D28-A073-DD36FB0BCEC3,urn:caltrans:property:longitude,Longitude | en-EN,Longitude,degree,Longitude of point location,Angle | en-EN,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
5B2708FC-2E29-4848-98D3-BD44DE578E53,urn:caltrans:property:lrs_offset,LrsOffset | en-EN,LRS Offset,foot,Linear Reference System offset of point location,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
A3E62C13-8168-40C0-B8F0-9C7B3573EE04,urn:caltrans:property:lrs_offset_begin,LrsOffsetBegin | en-EN,LRS Offset - Begin,foot,Linear Reference System offset of point location - begin,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
B90136FB-84C8-4B3A-84A6-1CD2A5F27FDC,urn:caltrans:property:lrs_offset_end,LrsOffsetEnd | en-EN,LRS Offset - End,foot,Linear Reference System offset of point location - end,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
